x-coord,y-coord,radius,velocity-mag (m/s)
0.006,-0.006,0.008485281,0.772596471
0.0063,-0.0063,0.008909545,0.821533479
0.0066,-0.0066,0.00933381,0.962087574
0.0069,-0.0069,0.009758074,1.145936736
0.0072,-0.0072,0.010182338,1.364265425
0.0075,-0.0075,0.010606602,1.591405957
0.0078,-0.0078,0.011030866,1.838319438
0.0081,-0.0081,0.01145513,2.100484186
0.0084,-0.0084,0.011879394,2.311572186
0.0087,-0.0087,0.012303658,2.45438738
0.009,-0.009,0.012727922,2.583415753
0.0093,-0.0093,0.013152186,2.707935246
0.0096,-0.0096,0.01357645,2.836396872
0.0099,-0.0099,0.014000714,2.976140931
0.0102,-0.0102,0.014424978,3.127551713
0.0105,-0.0105,0.014849242,3.262995191
0.0108,-0.0108,0.015273506,3.398366031
0.0111,-0.0111,0.015697771,3.51651674
0.0114,-0.0114,0.016122035,3.626573576
0.0117,-0.0117,0.016546299,3.745948112
0.012,-0.012,0.016970563,3.857344414
0.0123,-0.0123,0.017394827,3.946734535
0.0126,-0.0126,0.017819091,4.01807317
0.0129,-0.0129,0.018243355,4.113099691
0.0132,-0.0132,0.018667619,4.231007553
0.0135,-0.0135,0.019091883,4.339557142
0.0138,-0.0138,0.019516147,4.417160236
0.0141,-0.0141,0.019940411,4.449987432
0.0144,-0.0144,0.020364675,4.502662314
0.0147,-0.0147,0.020788939,4.58027178
0.015,-0.015,0.021213203,4.673343609
0.0153,-0.0153,0.021637468,4.721134329
0.0156,-0.0156,0.022061732,4.781326548
0.0159,-0.0159,0.022485996,4.839278
0.0162,-0.0162,0.02291026,4.909591092
0.0165,-0.0165,0.023334524,5.02074711
0.0168,-0.0168,0.023758788,5.149359622
0.0171,-0.0171,0.024183052,5.269731581
0.0174,-0.0174,0.024607316,5.357850011
0.0177,-0.0177,0.02503158,5.406321828
0.018,-0.018,0.025455844,5.40030105
0.0183,-0.0183,0.025880108,5.314902669
0.0186,-0.0186,0.026304372,5.115032561
0.0189,-0.0189,0.026728636,4.861499968
0.0192,-0.0192,0.0271529,4.644570132
0.0195,-0.0195,0.027577164,4.497446114
0.0198,-0.0198,0.028001429,4.453832279
0.0201,-0.0201,0.028425693,4.480541552
0.0204,-0.0204,0.028849957,4.565164788
0.0207,-0.0207,0.029274221,4.388353222
0.021,-0.021,0.029698485,3.277908052