x-coord,y-coord,radius,velocity-mag (m/s)
0.00750,0.00750,0.01061,1.90460
0.00780,0.00780,0.01103,2.14105
0.00810,0.00810,0.01146,2.36127
0.00840,0.00840,0.01188,2.64969
0.00870,0.00870,0.01230,2.86485
0.00900,0.00900,0.01273,3.09346
0.00930,0.00930,0.01315,3.27722
0.00960,0.00960,0.01358,3.42025
0.00990,0.00990,0.01400,3.53703
0.01020,0.01020,0.01442,3.64945
0.01050,0.01050,0.01485,3.72658
0.01080,0.01080,0.01527,3.81263
0.01110,0.01110,0.01570,3.90643
0.01140,0.01140,0.01612,3.98884
0.01170,0.01170,0.01655,4.07803
0.01200,0.01200,0.01697,4.16533
0.01230,0.01230,0.01739,4.23893
0.01260,0.01260,0.01782,4.33273
0.01290,0.01290,0.01824,4.40180
0.01320,0.01320,0.01867,4.46863
0.01350,0.01350,0.01909,4.56020
0.01380,0.01380,0.01952,4.65277
0.01410,0.01410,0.01994,4.73519
0.01440,0.01440,0.02036,4.83747
0.01470,0.01470,0.02079,4.92645
0.01500,0.01500,0.02121,5.02714
0.01530,0.01530,0.02164,5.14278
0.01560,0.01560,0.02206,5.26064
0.01590,0.01590,0.02249,5.35603
0.01620,0.01620,0.02291,5.44342
0.01650,0.01650,0.02333,5.52608
0.01680,0.01680,0.02376,5.57162
0.01710,0.01710,0.02418,5.57639
0.01740,0.01740,0.02461,5.54340
0.01770,0.01770,0.02503,5.42824
0.01800,0.01800,0.02546,5.25141
0.01830,0.01830,0.02588,5.08096
0.01860,0.01860,0.02630,4.76247
0.01890,0.01890,0.02673,4.51257
0.01920,0.01920,0.02715,4.36589
0.01950,0.01950,0.02758,4.35827
0.01980,0.01980,0.02800,4.42139
0.02010,0.02010,0.02843,4.49598
0.02040,0.02040,0.02885,4.52459
0.02070,0.02070,0.02927,4.59235
0.02100,0.02100,0.02970,4.14807