x-coord,y-coord,radius,Velocity_Magnitude
0.00600,0.00600,0.008485281,1.046595068
0.00630,0.00630,0.008909545,1.086692123
0.00660,0.00660,0.00933381,1.083385156
0.00690,0.00690,0.009758074,1.097304218
0.00720,0.00720,0.010182338,1.088244466
0.00750,0.00750,0.010606602,1.081884321
0.00780,0.00780,0.011030866,1.077576304
0.00810,0.00810,0.01145513,1.139926645
0.00840,0.00840,0.011879394,1.246521391
0.00870,0.00870,0.012303658,1.395115293
0.00900,0.00900,0.012727922,1.574554365
0.00930,0.00930,0.013152186,1.805665369
0.00960,0.00960,0.01357645,2.045832191
0.00990,0.00990,0.014000714,2.287213127
0.01020,0.01020,0.014424978,2.480234896
0.01050,0.01050,0.014849242,2.625898884
0.01080,0.01080,0.015273506,2.739962224
0.01110,0.01110,0.015697771,2.822260586
0.01140,0.01140,0.016122035,2.94075014
0.01170,0.01170,0.016546299,3.033920242
0.01200,0.01200,0.016970563,3.131955356
0.01230,0.01230,0.017394827,3.276820025
0.01260,0.01260,0.017819091,3.387018248
0.01290,0.01290,0.018243355,3.501799975
0.01320,0.01320,0.018667619,3.656211952
0.01350,0.01350,0.019091883,3.812492498
0.01380,0.01380,0.019516147,3.918433678
0.01410,0.01410,0.019940411,3.952037811
0.01440,0.01440,0.020364675,4.002921453
0.01470,0.01470,0.020788939,4.070949939
0.01500,0.01500,0.021213203,4.154816356
0.01530,0.01530,0.021637468,4.236161389
0.01560,0.01560,0.022061732,4.299845517
0.01590,0.01590,0.022485996,4.345570081
0.01620,0.01620,0.02291026,4.42039053
0.01650,0.01650,0.023334524,4.498636593
0.01680,0.01680,0.023758788,4.626595695
0.01710,0.01710,0.024183052,4.731078957
0.01740,0.01740,0.024607316,4.84906331
0.01770,0.01770,0.02503158,4.967546987
0.01800,0.01800,0.025455844,5.082629926
0.01830,0.01830,0.025880108,5.161360119
0.01860,0.01860,0.026304372,5.14227611
0.01890,0.01890,0.026728636,5.075841845
0.01920,0.01920,0.0271529,4.958755947
0.01950,0.01950,0.027577164,4.844415142
0.01980,0.01980,0.028001429,4.765155646
0.02010,0.02010,0.028425693,4.72697701
0.02040,0.02040,0.028849957,4.734378173
0.02070,0.02070,0.029274221,4.532225572
0.02100,0.02100,0.029698485,3.461324238